keys,zh_CN,en
UI_MENU_NO_EQUIPMENT_CANDIDATE,行囊中没有适合这个槽位的法器,No compatible artifact in the inventory
UI_MENU_SELECT_EQUIPMENT,选择法器查看说明与属性变化,Select an artifact to compare
UI_MENU_EQUIPPED,装备了%s,Equipped %s
UI_MENU_UNEQUIPPED,卸下了%s,Unequipped %s
UI_MENU_ALREADY_EQUIPPED,%s已经装备,%s is already equipped
UI_MENU_INVENTORY_REJECTED,行囊无法完整收回原有法器,The previous artifact cannot fit in the inventory
UI_MENU_SLOT_NOT_ALLOWED,角色不能使用这个装备槽,This equipment slot is not available
UI_MENU_EQUIP_FAILED,无法装备%s,Cannot equip %s
UI_MENU_UNEQUIP_FAILED,无法卸下当前法器,Cannot unequip the current artifact
UI_MENU_NO_SKILLS,尚未学会法术,No learned skills
UI_MENU_SELECT_SKILL,选择法术查看详情,Select a skill for details
UI_MENU_SKILL_DETAIL,%s　%d气　冷却 %.1f秒\n%s · 射程 %.1f米 · 范围 %.1f米\n%s,%s  %d Qi  %.1fs cooldown\n%s · Range %.1fm · Radius %.1fm\n%s
UI_MENU_SKILL_TARGET_SELF,自身,Self
UI_MENU_SKILL_TARGET_SINGLE_ENEMY,单体敌人,Single enemy
UI_MENU_SKILL_TARGET_DIRECTION,瞄准方向,Aim direction
UI_MENU_SKILL_TARGET_POINT,指定地点,Target point
UI_MENU_SKILL_TARGET_AREA,自身范围,Area around self
UI_MENU_SKILL_TARGET_UNKNOWN,未知目标,Unknown target
UI_MENU_NOT_CONFIGURED,未配置,Not Set
UI_MENU_SKILL_ASSIGNED,%s已放入技能槽 %d,%s assigned to skill slot %d
UI_MENU_SKILL_UNCHANGED,技能槽没有变化,Skill slots unchanged
UI_MENU_SKILL_ASSIGN_FAILED,无法配置这个技能,Cannot assign this skill
UI_MENU_SKILL_CLEARED,已清空技能槽 %d,Cleared skill slot %d
UI_MENU_SYSTEM_SUMMARY,管理存档、设置与本次旅程。,Manage saves settings and this journey.
UI_MENU_RETURN_TITLE,返回标题,Return to Title
UI_SAVE_TITLE,保存进度,Save Progress
UI_LOAD_TITLE,读取进度,Load Progress
UI_SAVE_LOAD_HINT,Enter/A 确认 · Esc/B 返回,Enter/A confirm · Esc/B back
UI_SAVE_SUCCEEDED,已保存到槽位 %d,Saved to slot %d
UI_SAVE_FAILED,保存失败：%s,Save failed: %s
UI_LOAD_SUCCEEDED,已读取槽位 %d,Loaded slot %d
UI_LOAD_FAILED,无法读取这个存档,Could not load this save
UI_SLOT_EMPTY,槽位 %d　—　空,Slot %d  —  Empty
UI_SLOT_CORRUPT,槽位 %d　—　损坏,Slot %d  —  Corrupt
UI_SLOT_SUMMARY,槽位 %d　%s　%s　钱 %d,Slot %d  %s  %s  Money %d
UI_SETTINGS_TITLE,设置,Settings
UI_SETTINGS_CATEGORY_GAME,游戏,Game
UI_SETTINGS_CATEGORY_DISPLAY_AUDIO,显示与音频,Display & Audio
UI_SETTINGS_CATEGORY_CONTROLS,操作,Controls
UI_SETTINGS_CATEGORY_ACCESSIBILITY,辅助功能,Accessibility
UI_SETTINGS_DESC_GAME,语言与基础体验,Language and core experience
UI_SETTINGS_DESC_DISPLAY_AUDIO,窗口、音乐与音效,Window, music, and sound
UI_SETTINGS_DESC_CONTROLS,键鼠、手柄与摇杆,Keyboard, mouse, and gamepad
UI_SETTINGS_DESC_ACCESSIBILITY,阅读节奏与舒适反馈,Reading pace and comfort
UI_BACK_HINT,Esc / B  返回,Esc / B  Back
UI_MUSIC,音乐,Music
UI_SOUND,音效,Sound
UI_LANGUAGE,语言,Language
UI_DISPLAY_MODE,显示,Display
UI_DISPLAY_WINDOW_2X,窗口 2×（1280×720）,Window 2× (1280×720)
UI_DISPLAY_WINDOW_3X,窗口 3×（1920×1080）,Window 3× (1920×1080)
UI_DISPLAY_FULLSCREEN,全屏,Fullscreen
UI_DISPLAY_APPLIED,显示设置已保存,Display setting saved
UI_REBIND,修改按键,Rebind
UI_GAMEPAD_HINT,手柄支持按钮与摇杆轴重绑；Esc 取消录入,Gamepad buttons and stick axes can be rebound; Esc cancels
UI_ACTION_NORTH,向上,Move up
UI_ACTION_SOUTH,向下,Move down
UI_ACTION_WEST,向左,Move left
UI_ACTION_EAST,向右,Move right
UI_ACTION_AIM_NORTH,瞄准上,Aim up
UI_ACTION_AIM_SOUTH,瞄准下,Aim down
UI_ACTION_AIM_WEST,瞄准左,Aim left
UI_ACTION_AIM_EAST,瞄准右,Aim right
UI_ACTION_INTERACT,互动,Interact
UI_ACTION_MENU,菜单,Menu
UI_ACTION_ATTACK,普攻,Basic attack
UI_ACTION_SKILL_ONE,技能一,Skill one
UI_ACTION_SKILL_TWO,技能二,Skill two
UI_ACTION_SKILL_THREE,技能三,Skill three
UI_ACTION_DODGE,闪避,Dodge
UI_ACTION_ITEM,战斗丹药,Battle item
UI_ACTION_STAND_GROUND,原地攻击,Stand ground
UI_ACTION_FORCE_MOVE,强制移动,Force move
UI_ACTION_TARGET_NEXT,切换目标,Cycle target
UI_BINDING_DEVICE,绑定设备,Binding
UI_BINDING_KEYBOARD,键盘,Keyboard
UI_BINDING_MOUSE,鼠标,Mouse
UI_BINDING_GAMEPAD,手柄,Gamepad
UI_MOVEMENT_DEADZONE,移动死区,Move deadzone
UI_AIM_DEADZONE,瞄准死区,Aim deadzone
UI_AIM_SENSITIVITY,瞄准灵敏度,Aim sensitivity
UI_DIALOGUE_SPEED,对话速度,Dialogue speed
UI_DIALOGUE_SPEED_SLOW,舒缓 32 字/秒,Slow 32/s
UI_DIALOGUE_SPEED_STANDARD,标准 48 字/秒,Standard 48/s
UI_DIALOGUE_SPEED_FAST,快速 72 字/秒,Fast 72/s
UI_DIALOGUE_SPEED_VERY_FAST,极快 120 字/秒,Very fast 120/s
UI_REDUCE_COMBAT_FLASHES,减少闪烁与命中停顿,Reduce flashes and hit-stop
UI_ACCESSIBILITY_SAVED,辅助功能已保存,Accessibility saved
UI_CLEAR_BINDING,清除,Clear
UI_RESET_BINDINGS,默认,Defaults
UI_BINDING_CLEARED,该设备绑定已清除,Binding cleared for this device
UI_BINDING_REQUIRED,已恢复必要的 Esc / M 菜单与返回键,Required Esc / M menu and back keys restored
UI_BINDINGS_RESET,全部输入已恢复默认,All input bindings restored
UI_INPUT_TUNING_SAVED,摇杆设置已保存,Stick settings saved
UI_REBIND_WAITING,请为“%s”录入新的%s输入,Set “%s” with a new %s input
UI_REBIND_CANCELLED,已取消修改,Rebind cancelled
UI_REBIND_SAVED,按键已保存,Key binding saved
UI_REBIND_CONFLICT,“%s”与“%s”冲突，未保存,“%s” conflicts with “%s”; not saved
UI_BATTLE_ATTACK,攻击,Attack
UI_BATTLE_SKILL,技能,Skill
UI_BATTLE_ITEM,物品,Item
UI_BATTLE_DEFEND,防御,Defend
UI_BATTLE_ESCAPE,逃跑,Escape
